NAME	DESCRIPTION	Parental_cell_line_rep_1	Parental_cell_line_rep_2	Parental_cell_line_rep_3	Resistant_cell_line_rep_1	Resistant_cell_line_rep_2	Resistant_cell_line_rep_3
7A5	7A5	7.081596634	7.021522258	7.041111535	7.037287254	6.964865723	7.027113185
A1BG	A1BG	6.339088659	5.998618177	6.029011087	6.905603843	6.983754559	6.754828465
A1CF	A1CF	6.094315477	6.187204851	6.705977902	5.177441607	5.049823938	5.482321369
A26C3	A26C3	4.823075656	4.843653749	5.083213368	4.251222266	4.733682044	4.300853109
A2BP1	A2BP1	7.24112231	7.043023275	7.28077077	5.979890163	6.178186141	5.990707698
A2LD1	A2LD1	8.595137031	8.410415247	8.53838296	7.394765623	7.384543525	7.298831616
A2M	A2M	13.00227641	12.92868854	13.08558864	13.04433887	12.97185571	12.93630366
A2ML1	A2ML1	5.511014079	5.292470983	5.121015401	4.746749707	4.721445609	4.64724797
A3GALT2	A3GALT2	4.946787261	4.495193876	4.638073837	4.956236638	5.310838215	5.344031131
A4GALT	A4GALT	4.701348988	4.724909098	4.566815154	5.946550995	6.013213539	5.982372451
A4GNT	A4GNT	5.565139303	5.588072996	5.575917361	5.959213475	5.953269503	5.685393981
AAA1	AAA1	7.617653523	7.455719465	8.027353134	6.053880847	5.25623947	6.331236046
AAAS	AAAS	8.044701047	7.871681186	7.89056829	7.698654444	7.800236697	7.644996695
AACS	AACS	10.3671061	10.27470975	10.79839079	10.65210716	10.62866396	10.35870142
AADAC	AADAC	7.026613785	7.304619653	7.444600814	6.769390855	6.862526685	6.888964163
AADACL1	AADACL1	11.67315314	11.59457121	11.54356355	11.95942341	12.003737	12.02451417
AADACL2	AADACL2	6.082342965	6.437753501	6.798309782	5.28931602	4.99696035	5.523127289
AADACL4	AADACL4	7.022016907	6.926150706	6.924812504	6.970216778	7.074713918	6.994179722
AADAT	AADAT	9.867189558	10.20658348	9.804131021	9.949918559	9.785957835	10.00713351
AAGAB	AAGAB	11.54887687	11.45909529	11.47355356	11.4166261	11.54527293	11.55431177
AAK1	AAK1	11.4700391	11.54115106	11.12786539	11.83768826	11.84683594	11.98816147
AAMP	AAMP	11.36918002	11.28195357	11.14962012	11.00628036	11.06623558	10.93166299
AANAT	AANAT	4.433084385	4.344790488	4.432959407	4.316183877	4.201862277	4.62424258
AARS	AARS	13.70976535	13.72278865	13.58812901	13.68768488	13.58791426	13.75460174
AARS2	AARS2	12.10548431	12.02237924	11.99975342	11.92872785	12.08610046	12.02267993
AARSD1	AARSD1	11.81271257	11.72640735	11.81346056	11.81340381	11.80722796	11.86391741
AASDH	AASDH	11.67949855	11.83902003	11.7912443	11.80534965	11.74750168	11.81153144
AASDHPPT	AASDHPPT	11.99101881	11.77646405	11.98847167	11.2517365	11.52929292	11.57740202
AASS	AASS	11.99798977	12.15966321	12.12867103	11.75753481	11.58351004	11.70432278
AATF	AATF	11.29223301	10.95775643	10.94975377	10.99475814	11.06429814	10.93680663
AATK	AATK	6.000453536	5.874475781	5.716990894	6.031267084	6.158408879	5.907855794
ABAT	ABAT	8.894085291	8.875623756	9.062046138	7.857545967	7.73666547	7.83408693
ABCA1	ABCA1	8.859020556	8.89728734	9.241506541	12.26155426	12.21300007	12.14971494
ABCA10	ABCA10	8.112130063	8.701146947	8.262094845	8.143515017	8.283578812	8.390129719
ABCA11	ABCA11	8.781456584	9.023157477	8.69453201	8.821908539	8.746723598	8.949970887
ABCA12	ABCA12	7.302391554	7.297155681	7.782015335	5.946550995	5.905450389	6.244491876
ABCA13	ABCA13	5.015451616	4.929402103	5.053111336	4.975012939	5.56490055	5.351668071
ABCA2	ABCA2	8.98852881	9.026134538	9.192046179	9.554763341	9.573241697	9.649456114
ABCA3	ABCA3	5.934829941	5.642710273	5.799605422	7.894259762	7.807012617	7.99650924
ABCA4	ABCA4	6.120274883	6.025681199	6.226893814	6.766542552	6.720725096	6.662375091
ABCA5	ABCA5	10.01971388	10.108566	10.05501123	9.052171742	8.615525287	9.222502802
ABCA6	ABCA6	7.051599241	7.277035353	7.6574971	6.676766161	6.673953762	6.80332907
ABCA7	ABCA7	8.233707408	8.249615803	8.195741293	7.987708727	8.074777169	7.889425003
ABCA8	ABCA8	6.517515497	6.510526948	6.781359714	6.481160611	6.51343677	6.202443877
ABCA9	ABCA9	5.904887997	6.025681199	5.984133595	5.083648741	5.503613895	5.418579633
ABCB1	ABCB1	6.5713058	6.353712537	6.659639187	7.33383605	7.334580806	7.219715309
ABCB10	ABCB10	11.48885308	11.53333258	11.45152023	10.88969306	11.12632671	11.12936638
ABCB11	ABCB11	5.868605689	5.695239737	5.9795681	5.319814498	5.511430905	5.289404658
ABCB4	ABCB4	9.751975691	9.806534645	9.90523656	9.171935695	9.172786575	9.126418924
ABCB5	ABCB5	7.110891282	7.175955477	7.242221395	5.875578885	6.082548242	6.180374771
ABCB6	ABCB6	11.68788724	11.78097728	11.62657603	11.3383597	11.4748477	11.52290539
ABCB7	ABCB7	10.45482318	10.48231918	10.58195375	10.15376115	10.13216046	10.04493729
ABCB8	ABCB8	9.731684013	9.703178483	9.403651186	9.547106427	9.524708729	9.326840737
ABCB9	ABCB9	9.093451418	8.831027257	9.1048608	9.292124228	9.258444981	9.248469434
ABCC1	ABCC1	10.85803143	10.42622376	10.59972692	10.86780952	11.04523595	10.62424622
ABCC10	ABCC10	10.8280568	10.86983874	10.68737568	10.73191045	10.74379458	10.73285999
ABCC11	ABCC11	7.973510852	8.059485258	7.846744023	7.20435148	7.247516707	7.215232584
ABCC12	ABCC12	4.395208037	4.248647051	4.596935142	4.031237225	4.186645084	4.327418785
ABCC13	ABCC13	6.878219733	6.905964834	7.174925683	6.015813663	6.013213539	6.21473525
ABCC2	ABCC2	6.783037239	6.245105796	6.183883459	6.976323046	6.967372311	6.739029446
ABCC3	ABCC3	6.018256441	5.83122944	5.830356747	7.126604796	7.15198705	7.051517887
ABCC4	ABCC4	9.921715045	9.995106797	10.01471793	9.753134891	10.11515154	10.05388796
ABCC5	ABCC5	11.85379999	11.88294558	11.89421146	11.58993748	11.59600857	11.6552937
ABCC6	ABCC6	7.106594415	7.037936757	7.500642736	7.242873489	7.163069383	7.289531129
ABCC6P1	ABCC6P1	5.363832295	5.253713192	5.529820947	5.048189047	5.218791806	5.058283703
ABCC6P2	ABCC6P2	5.37601966	5.288642054	5.285402219	5.592322701	5.958427062	5.637884928
ABCC8	ABCC8	4.968246593	5.060685425	4.916476644	4.839360348	4.529426319	4.736784679
ABCC9	ABCC9	7.479577564	7.369112553	7.67030217	6.756889602	6.773039316	6.666244521
ABCD1	ABCD1	10.17771257	10.06378535	10.08799315	10.5414607	10.56616394	10.38497422
