NAME	DESCRIPTION	post_BRAFi_patB04	post_BRAFi_patB08	post_BRAFi_patB16	post_BRAFi_patB30	pre_BRAFi_patB04	pre_BRAFi_patB08	pre_BRAFi_patB16	pre_BRAFi_patB30
7A5	7A5	7.032651409	10.06838966	7.14619496	7.017667472	7.194023884	7.042944109	6.926676341	7.034815515
A1BG	A1BG	10.10405288	8.553167094	9.399094479	7.515737992	9.199621729	8.147993097	10.27061027	8.523605341
A1CF	A1CF	7.155115192	11.64244359	8.05609517	6.91719313	7.060443837	7.1378816	7.026818118	6.935455657
A26C3	A26C3	7.156958864	6.988684263	7.082100111	6.929982935	7.58050044	7.000164947	7.035728825	6.951441702
A2BP1	A2BP1	11.13697123	8.331270308	11.76327179	8.781887599	10.03558982	9.774902355	10.074285	9.695889563
A2LD1	A2LD1	6.919396224	7.428075576	8.193391501	9.09043899	7.029780217	7.64693464	7.143593207	6.886512132
A2M	A2M	14.23160793	13.16359237	13.37219565	14.30455907	14.9663119	13.58487872	13.98735511	14.43197632
A2ML1	A2ML1	6.966954978	7.0597322	7.488101699	7.751993692	7.644090262	7.031296062	7.611436872	7.025292238
A3GALT2	A3GALT2	6.96357381	6.928495911	7.301209167	6.943768324	6.971875873	7.055801255	7.982195928	7.013848073
A4GALT	A4GALT	9.567967739	9.288431526	7.736422585	9.570426137	9.81630241	8.181472819	10.65440408	10.65581582
A4GNT	A4GNT	7.153276974	6.924952927	7.104430938	6.987033732	6.9389729	7.014517634	7.070860423	6.912035645
AAA1	AAA1	9.386924054	7.34851217	9.342393777	7.723056598	8.341664607	7.090733077	8.019298603	8.923795327
AAAS	AAAS	8.339559962	8.873702551	9.289940881	9.701922646	9.573569338	9.464492868	8.171745607	9.671971531
AACS	AACS	9.165819354	9.640470563	9.210607646	9.818828982	7.866655522	8.563943644	9.726990845	8.272497144
AADAC	AADAC	6.938144449	8.876909113	6.939836294	6.928377185	6.923338804	6.941262275	7.241619814	6.942438138
